rt,coherence,decision,animal
464.0,256.0,1.0,0.0
318.0,64.0,1.0,0.0
531.0,128.0,1.0,0.0
567.0,0.0,1.0,0.0
398.0,0.0,1.0,0.0
453.0,32.0,0.0,0.0
291.0,512.0,1.0,0.0
515.0,128.0,1.0,0.0
325.0,256.0,1.0,0.0
394.0,64.0,1.0,0.0
491.0,32.0,0.0,0.0
277.0,512.0,1.0,0.0
387.0,256.0,1.0,0.0
349.0,32.0,1.0,0.0
1014.0,32.0,1.0,0.0
371.0,64.0,1.0,0.0
298.0,512.0,1.0,0.0
284.0,128.0,1.0,0.0
288.0,0.0,1.0,0.0
233.0,512.0,1.0,0.0
286.0,128.0,1.0,0.0
289.0,256.0,1.0,0.0
488.0,64.0,1.0,0.0
566.0,0.0,1.0,0.0
474.0,64.0,1.0,0.0
228.0,128.0,1.0,0.0
240.0,512.0,1.0,0.0
316.0,64.0,1.0,0.0
282.0,0.0,0.0,0.0
579.0,128.0,1.0,0.0
493.0,32.0,1.0,0.0
593.0,256.0,1.0,0.0
293.0,512.0,1.0,0.0
303.0,256.0,1.0,0.0
326.0,32.0,1.0,0.0
380.0,0.0,1.0,0.0
307.0,256.0,1.0,0.0
435.0,0.0,1.0,0.0
269.0,512.0,1.0,0.0
269.0,512.0,1.0,0.0
297.0,32.0,0.0,0.0
476.0,64.0,1.0,0.0
408.0,32.0,0.0,0.0
267.0,128.0,1.0,0.0
296.0,0.0,0.0,0.0
470.0,64.0,1.0,0.0
311.0,128.0,1.0,0.0
261.0,256.0,1.0,0.0
665.0,64.0,1.0,0.0
560.0,64.0,0.0,0.0
367.0,0.0,1.0,0.0
457.0,32.0,1.0,0.0
284.0,512.0,1.0,0.0
292.0,256.0,1.0,0.0
449.0,0.0,1.0,0.0
357.0,256.0,1.0,0.0
424.0,128.0,1.0,0.0
302.0,32.0,0.0,0.0
254.0,512.0,1.0,0.0
298.0,128.0,1.0,0.0
278.0,32.0,1.0,0.0
245.0,512.0,1.0,0.0
443.0,64.0,1.0,0.0
484.0,128.0,0.0,0.0
353.0,256.0,1.0,0.0
293.0,256.0,1.0,0.0
245.0,64.0,1.0,0.0
489.0,0.0,1.0,0.0
601.0,32.0,0.0,0.0
549.0,0.0,0.0,0.0
328.0,512.0,1.0,0.0
507.0,128.0,1.0,0.0
312.0,0.0,0.0,0.0
529.0,32.0,1.0,0.0
258.0,512.0,1.0,0.0
243.0,512.0,1.0,0.0
609.0,32.0,1.0,0.0
513.0,64.0,1.0,0.0
526.0,128.0,1.0,0.0
341.0,256.0,1.0,0.0
330.0,256.0,1.0,0.0
506.0,64.0,1.0,0.0
648.0,128.0,0.0,0.0
504.0,0.0,0.0,0.0
265.0,512.0,1.0,0.0
605.0,0.0,0.0,0.0
264.0,32.0,1.0,0.0
357.0,32.0,0.0,0.0
209.0,128.0,1.0,0.0
269.0,128.0,1.0,0.0
250.0,512.0,1.0,0.0
256.0,256.0,1.0,0.0
301.0,256.0,1.0,0.0
414.0,0.0,0.0,0.0
227.0,64.0,1.0,0.0
533.0,64.0,1.0,0.0
323.0,0.0,0.0,0.0
266.0,512.0,1.0,0.0
270.0,64.0,1.0,0.0
273.0,128.0,1.0,0.0
279.0,128.0,1.0,0.0
288.0,64.0,1.0,0.0
355.0,512.0,1.0,0.0
283.0,256.0,1.0,0.0
365.0,32.0,1.0,0.0
455.0,32.0,1.0,0.0
287.0,0.0,1.0,0.0
282.0,256.0,1.0,0.0
304.0,128.0,1.0,0.0
429.0,0.0,0.0,0.0
397.0,32.0,1.0,0.0
571.0,64.0,1.0,0.0
265.0,512.0,1.0,0.0
290.0,256.0,1.0,0.0
527.0,64.0,1.0,0.0
411.0,256.0,1.0,0.0
330.0,512.0,1.0,0.0
527.0,0.0,1.0,0.0
281.0,128.0,1.0,0.0
527.0,32.0,1.0,0.0
565.0,64.0,0.0,0.0
229.0,128.0,1.0,0.0
541.0,64.0,1.0,0.0
397.0,256.0,1.0,0.0
259.0,512.0,1.0,0.0
373.0,256.0,1.0,0.0
301.0,64.0,1.0,0.0
466.0,32.0,1.0,0.0
424.0,128.0,0.0,0.0
538.0,0.0,0.0,0.0
270.0,512.0,1.0,0.0
336.0,0.0,0.0,0.0
526.0,32.0,1.0,0.0
337.0,512.0,1.0,0.0
280.0,32.0,0.0,0.0
825.0,64.0,1.0,0.0
366.0,256.0,1.0,0.0
257.0,256.0,1.0,0.0
286.0,128.0,1.0,0.0
249.0,512.0,1.0,0.0
492.0,128.0,1.0,0.0
522.0,32.0,1.0,0.0
370.0,0.0,0.0,0.0
359.0,0.0,1.0,0.0
317.0,64.0,1.0,0.0
504.0,128.0,1.0,0.0
281.0,256.0,1.0,0.0
258.0,512.0,1.0,0.0
378.0,32.0,0.0,0.0
351.0,256.0,1.0,0.0
381.0,512.0,1.0,0.0
324.0,64.0,1.0,0.0
968.0,32.0,1.0,0.0
465.0,0.0,0.0,0.0
586.0,0.0,1.0,0.0
540.0,64.0,1.0,0.0
446.0,128.0,1.0,0.0
555.0,32.0,1.0,0.0
567.0,0.0,1.0,0.0
301.0,512.0,1.0,0.0
639.0,128.0,1.0,0.0
586.0,32.0,1.0,0.0
276.0,256.0,1.0,0.0
403.0,0.0,0.0,0.0
565.0,64.0,1.0,0.0
352.0,128.0,1.0,0.0
455.0,256.0,1.0,0.0
246.0,512.0,1.0,0.0
543.0,64.0,0.0,0.0
344.0,0.0,0.0,0.0
934.0,32.0,1.0,0.0
319.0,256.0,1.0,0.0
302.0,512.0,1.0,0.0
423.0,128.0,1.0,0.0
561.0,64.0,1.0,0.0
576.0,0.0,0.0,0.0
424.0,64.0,1.0,0.0
